ground_truth_prediction_json,similarity
"{'ground_truth': 'Canned food', 'predictions': ""['canned food']""}",1.0
"{'ground_truth': 'Melamine plates', 'predictions': ""['ceramic plate']""}",0.0
"{'ground_truth': 'Plastic takeaway food container', 'predictions': ""['plastic takeaway food container']""}",1.0
"{'ground_truth': 'Namecard', 'predictions': ""['business card']""}",0.0
"{'ground_truth': 'Cardboard box', 'predictions': ""['cardboard box']""}",1.0
"{'ground_truth': 'Juice packet', 'predictions': ""['plastic packaging']""}",0.0
"{'ground_truth': 'Paper towel tube', 'predictions': ""['cardboard box']""}",0.0
"{'ground_truth': 'Soft drink can', 'predictions': ""['beverage metal can']""}",0.0
"{'ground_truth': 'Bedsheet', 'predictions': ""['bedsheet']""}",1.0
"{'ground_truth': 'Clothes', 'predictions': ""['blouse']""}",0.0
"{'ground_truth': 'Clothes', 'predictions': ""['clothes']""}",1.0
"{'ground_truth': 'paper cup with plastic lid', 'predictions': ""['disposable cup']""}",0.0
"{'ground_truth': 'Polystyrene foam product', 'predictions': ""['foam']""}",0.0
"{'ground_truth': 'Printed paper box', 'predictions': ""['paper box']""}",0.5
"{'ground_truth': 'Oven-safe food containers', 'predictions': ""['plastic container']""}",0.0
"{'ground_truth': 'Oxo-degradable bag', 'predictions': ""['oxo-degradable bag']""}",1.0
"{'ground_truth': 'Melamine plates', 'predictions': ""['plastic plate']""}",0.0
"{'ground_truth': 'paper cup', 'predictions': ""['disposable cup']""}",0.0
"{'ground_truth': 'Styrofoam', 'predictions': ""['styrofoam']""}",1.0
"{'ground_truth': 'Pen', 'predictions': ""['pen']""}",1.0
"{'ground_truth': 'Bedsheet', 'predictions': ""['bedsheet', 'plastic packaging']""}",0.0
"{'ground_truth': 'Pencil', 'predictions': ""['pencil']""}",1.0
"{'ground_truth': 'Medicine bottle', 'predictions': ""['medicine glass bottle']""}",0.0
"{'ground_truth': 'Shampoo bottle', 'predictions': ""['shampoo bottle', 'conditioner bottle']""}",1.0
"{'ground_truth': 'Carton box', 'predictions': ""['carton box']""}",1.0
"{'ground_truth': 'Umbrella', 'predictions': ""['umbrella']""}",1.0
"{'ground_truth': 'Bubble wrap', 'predictions': ""['bubble wrap']""}",1.0
"{'ground_truth': 'Plastic crockery', 'predictions': ""['plastic fork']""}",0.0
"{'ground_truth': 'Pen', 'predictions': ""['pen']""}",1.0
"{'ground_truth': 'Food waste', 'predictions': ""['food waste', 'ceramic plate']""}",0.0
"{'ground_truth': 'Magazine (Glossy and non-glossy)', 'predictions': ""['magazine (glossy and non-glossy)']""}",1.0
"{'ground_truth': 'Plastic takeaway food container', 'predictions': ""['plastic takeaway food container']""}",1.0
"{'ground_truth': 'Potato chip bags', 'predictions': ""['potato chip bags']""}",0.0
"{'ground_truth': 'Plastic takeaway food container', 'predictions': ""['plastic takeaway food container']""}",1.0
