filename,ground_truth,predictions,similarity
../images/test/batch2/Luggage bag (5).jpg,Luggage bag,['luggage bag'],1.0
../images/test/batch2/Glass cup (3).jpg,Glass cup,['glass cup'],1.0
../images/test/batch2/Glass bakeware (2).jpg,Glass bakeware,['borosilicate glassware'],0.0
../images/test/batch2/DVD player (3).jpg,DVD player,"['dvd player', 'electronic cables', 'cardboard box']",0.3333333333333333
../images/test/batch2/Plastic egg trays (3).jpg,Plastic egg trays,['plastic egg trays'],1.0
../images/test/batch2/Metal paint container (2).jpg,Metal paint container,['metal paint container'],1.0
../images/test/batch2/Computer battery (4).jpg,Computer battery,['rechargeable battery'],0.0
../images/test/batch2/Luggage bag (2).jpg,Luggage bag,['luggage bag'],1.0
../images/test/batch2/Plastic egg trays (2).jpg,Plastic egg trays,['blister pack'],0.0
../images/test/batch2/Tea pot (6).jpg,Tea pot,['tea pot'],1.0
../images/test/batch2/Writing paper (2).jpg,Writing paper,['post-it'],0.0
../images/test/batch2/Stationery (3).jpg,Stationery,['correction tape'],0.0
../images/test/batch2/Paper packaging with food (2).jpg,Paper packaging with food,"['pizza', 'pizza boxes']",0.0
../images/test/batch2/Music player (5).jpg,Music player,['cd player'],0.0
../images/test/batch2/Air Conditioner (4).jpg,Air Conditioner,['air conditioner'],1.0
../images/test/batch2/Non-food metal container.jpg,Non-food metal container,['plastic container'],0.0
../images/test/batch2/Spray cans (5).jpg,Spray cans,['aerosol cans'],1.0
../images/test/batch2/Tea pot (5).jpg,Tea pot,['tea pot'],1.0
../images/test/batch2/Chairs (3).jpg,Chairs,['chairs'],1.0
../images/test/batch2/Refrigerator (5).jpg,Refrigerator,"['washing machine', 'fridge', 'cardboard box']",0.33
../images/test/batch2/Paper Packaging (printed paper box etc).jpg,Paper Packaging (printed paper box etc),"['plant', 'chopping board', 'baking paper']",0.0
../images/test/batch2/Stationery.jpg,Stationery,['highlighter'],0.0
../images/test/batch2/Glass bakeware (5).jpg,Glass bakeware,['glass bakeware'],1.0
../images/test/batch2/Music player.jpg,Music player,['cd player'],0.0
../images/test/batch2/Hairdryer (4).jpg,Hairdryer,['hairdryer'],1.0
../images/test/batch2/Power bank.jpg,Power bank,['battery charger'],0.0
../images/test/batch2/Power bank (5).jpg,Power bank,['portable charger'],1.0
../images/test/batch2/Beverage carton.jpg,Beverage carton,['carton box'],0.0
../images/test/batch2/Food glass bottle (2).jpg,Food glass bottle,['sauce bottle'],0.0
../images/test/batch2/Router (2).jpg,Router,"['router', 'battery charger']",1.0
../images/test/batch2/Food glass bottle.jpg,Food glass bottle,['glass sauce bottle'],0.0
../images/test/batch2/Crayon drawing (2).jpg,Crayon drawing,['crayon drawing'],1.0
../images/test/batch2/Computer battery.jpg,Computer battery,['computer battery'],1.0
../images/test/batch2/Perfume glass bottle.jpg,Perfume glass bottle,['perfume glass bottle'],1.0
../images/test/batch2/Hairdryer (2).jpg,Hairdryer,['hairdryer'],1.0
../images/test/batch2/Incandescent bulb (2).jpg,Incandescent bulb,"['led bulb', 'incandescent bulb', 'fluorescent bulb']",0.6666666666666666
../images/test/batch2/Music player (4).jpg,Music player,['cd player'],0.0
../images/test/batch2/Lamp stand (2).jpg,Lamp stand,"['lamp stand', 'plant']",0.5
../images/test/batch2/Non-food metal container (5).jpg,Non-food metal container,['biscuit tin'],0.0
../images/test/batch2/Plastic bodywash bottle (5).jpg,Plastic bodywash bottle,['plastic bodywash bottle'],1.0
../images/test/batch2/Tea pot (2).jpg,Tea pot,['tea pot'],1.0
../images/test/batch2/Glass bakeware (3).jpg,Glass bakeware,['glass bakeware'],1.0
../images/test/batch2/Glass condiment bottle (3).jpg,Glass condiment bottle,['glass condiment bottle'],1.0
../images/test/batch2/Writing paper (3).jpg,Writing paper,['diary'],0.0
../images/test/batch2/Glass bakeware.jpg,Glass bakeware,['glass bakeware'],1.0
../images/test/batch2/Refrigerator (4).jpg,Refrigerator,"['fridge', 'plastic water bottle']",0.0
../images/test/batch2/Hairdryer.jpg,Hairdryer,['hairdryer'],1.0
../images/test/batch2/Router (5).jpg,Router,"['router', 'cardboard box']",1.0
../images/test/batch2/Hairdryer (3).jpg,Hairdryer,['hairdryer'],1.0
../images/test/batch2/Refrigerator (3).jpg,Refrigerator,['fridge'],1.0
../images/test/batch2/Tea pot (4).jpg,Tea pot,"['tea pot', 'cups']",0.5
../images/test/batch2/Textile.jpg,Textile,['fabric'],1.0
../images/test/batch2/Non-food metal container (4).jpg,Non-food metal container,['metal container'],0.5
../images/test/batch2/Lamp stand (4).jpg,Lamp stand,['lamp stand'],1.0
../images/test/batch2/Glass condiment bottle.jpg,Glass condiment bottle,['glass condiment bottle'],1.0
../images/test/batch2/Glitter paper (4).jpg,Glitter paper,['glitter paper'],1.0
../images/test/batch2/Metal bottle cap.jpg,Metal bottle cap,['metal bottle cap'],1.0
../images/test/batch2/Chairs.jpg,Chairs,['chair'],1.0
../images/test/batch2/Air Conditioner (2).jpg,Air Conditioner,['electric fan'],0.0
../images/test/batch2/Glitter paper (5).jpg,Glitter paper,['sandpaper'],0.0
../images/test/batch2/Desktop monitor.jpg,Desktop monitor,['desktop monitor'],1.0
../images/test/batch2/Glass condiment bottle (4).jpg,Glass condiment bottle,['glass bottle'],0.5
../images/test/batch2/Paper packaging with food.jpg,Paper packaging with food,"['pizza boxes', 'pizza']",0.0
../images/test/batch2/Football shoes (without metal studs) (5).jpg,Football shoes (without metal studs),['football shoes (without metal studs)'],1.0
../images/test/batch2/Football shoes (without metal studs).jpg,Football shoes (without metal studs),['football shoes (without metal studs)'],1.0
