filename,ground_truth,predictions,similarity
../images/test/batch3/golf ball.jpeg,golf ball,['golf ball'],1
../images/test/batch3/Newsletter (4).jpeg,Newsletter,['newsletter'],1
../images/test/batch3/Textbooks (3).jpg,Textbooks,['books'],0
../images/test/batch3/glasses.jpg,glasses,['glasses'],1
../images/test/batch3/fluorescent lamp.jpg,fluorescent lamp,"['lamp', 'pen', 'bottle']",0
../images/test/batch3/Disposable spoon (3).jpg,Disposable spoon,"['disposable spoon', 'disposable fork']",1
../images/test/batch3/ironing board.jpg,ironing board,['ironing board'],1
../images/test/batch3/Computer mouse (2).jpg,Computer mouse,"['computer mouse', 'computer mouse']",1
../images/test/batch3/button cell battery.jpg,button cell battery,['button cell battery'],1
../images/test/batch3/curtains.jpg,curtains,['curtains'],1
../images/test/batch3/shot glass.jpeg,shot glass,"['shot glass', 'shot glass', 'shot glass']",1
../images/test/batch3/bodywash bottle (3).jpeg,bodywash bottle,"['soap bottle', 'shampoo bottle', 'body lotion bottle']",0.33
../images/test/batch3/borosilicate glassware.jpg,borosilicate glassware,['borosilicate glassware'],1
../images/test/batch3/child seat.jpg,child seat,['child seat'],1
../images/test/batch3/Ribbons (2).jpg,Ribbons,['ribbons'],1
../images/test/batch3/plastic plate.jpg,plastic plate,['plastic plate'],1
../images/test/batch3/joss sticks.jpg,joss sticks,['joss sticks'],1
../images/test/batch3/food blender (4).jpg,food blender,['food blender'],1
../images/test/batch3/Personal mobility devices.jpg,Personal mobility devices,['electric mobility scooter'],0
../images/test/batch3/glass plate.jpg,glass plate,['glass plate'],1
../images/test/batch3/blister pack (2).webp,blister pack,['blister pack'],1
../images/test/batch3/Vacuum cleaner.jpg,Vacuum cleaner,['robot vacuum'],0
../images/test/batch3/foolscap paper.jpg,foolscap paper,['notebook'],0
../images/test/batch3/fluorescent bulb.jpg,fluorescent bulb,['fluorescent lamp'],0
../images/test/batch3/Toaster oven.jpg,Toaster oven,['toaster oven'],1
../images/test/batch3/anniversary card.webp,anniversary card,['anniversary card'],1
../images/test/batch3/Notebook (3).jpeg,Notebook,['notebook'],1
../images/test/batch3/laptop.jpg,laptop,['laptop'],1
../images/test/batch3/cushion.jpg,cushion,['cushion'],1
../images/test/batch3/Glass Tube.jpg,Glass Tube,['glass tube'],1
../images/test/batch3/chocolate.jpg,chocolate,['wrapper'],0
../images/test/batch3/Sanitary pad (4).jpg,Sanitary pad,"['sanitary pad', 'tampons']",0.6
../images/test/batch3/ceramic plate.jpg,ceramic plate,['ceramic plate'],1
../images/test/batch3/umbrella.jpg,umbrella,['umbrella'],1
../images/test/batch3/school shoes.jpg,school shoes,['shoes'],0
../images/test/batch3/Lamp fixture.jpeg,Lamp fixture,['lamp'],0
../images/test/batch3/Cellphone (2).jpg,Cellphone,['cellphone'],1
../images/test/batch3/shoes (2).jpg,shoes,['sneakers'],0
../images/test/batch3/Rice cooker (4).jpg,Rice cooker,['rice cooker'],1
../images/test/batch3/led bulb.jpg,led bulb,['led bulb'],1
../images/test/batch3/sandles.jpg,sandles,['sandles'],1
../images/test/batch3/Disposable shaver (4).jpg,Disposable shaver,['disposable shaver'],1
../images/test/batch3/coffee capsules.jpg,coffee capsules,['coffee capsules'],1
../images/test/batch3/Disposable spoon (2).jpg,Disposable spoon,['disposable spoon'],1
../images/test/batch3/docking station.jpg,docking station,['docking station'],1
../images/test/batch3/cd player (2).jpg,cd player,['cd player'],1
../images/test/batch3/gift bag.jpeg,gift bag,"['gift bag', 'gift bag']",1
../images/test/batch3/Playstation (3).jpg,Playstation,"['gaming console', 'gaming console controller']",0
../images/test/batch3/Toaster oven (4).jpg,Toaster oven,['toaster oven'],1
../images/test/batch3/wooden chopsticks.jpg,wooden chopsticks,['wooden chopsticks'],1
../images/test/batch3/Steel wool.jpg,Steel wool,['steel wool'],1
../images/test/batch3/disposable cup.jpg,disposable cup,['disposable cup'],1
../images/test/batch3/Disposable shaver.jpg,Disposable shaver,"['disposable shaver', 'shaving cream']",0
../images/test/batch3/plastic tupperware container.jpg,plastic tupperware container,['plastic tupperware container'],1
../images/test/batch3/highlighter.jpg,highlighter,['highlighter'],1
../images/test/batch3/Audio sound system.jpg,Audio sound system,['audio sound system'],1
../images/test/batch3/pen.jpg,pen,"['pen', 'pen', 'pen', 'pen', 'pen', 'pen']",1
../images/test/batch3/Battery charger.jpeg,Battery charger,"['battery charger', 'electronic cables']",0.5
../images/test/batch3/cabinet.jpg,cabinet,['cabinet'],1
../images/test/batch3/blister pack.jpg,blister pack,['blister pack'],1
../images/test/batch3/Aerosol cans (4).jpeg,Aerosol cans,['aerosol cans'],1
../images/test/batch3/e-scooter.jpg,e-scooter,['electric scooter'],0
../images/test/batch3/plastic bottle cap.jpeg,plastic bottle cap,['plastic bottle cap'],1
../images/test/batch3/Aerosol cans.jpg,Aerosol cans,['aerosol cans'],1
../images/test/batch3/biscuits.jpg,biscuits,['biscuits'],1
../images/test/batch3/dress shoes.jpg,dress shoes,['dress shoes'],1
../images/test/batch3/post-it.jpg,post-it,"['post-it', 'graph paper', 'highlighter']",1
../images/test/batch3/Textbooks.jpg,Textbooks,['books'],0
../images/test/batch3/Drinking glass (3).jpg,Drinking glass,['glass cup'],0
../images/test/batch3/parchment paper.jpg,parchment paper,['parchment paper'],1
../images/test/batch3/biscuit tin.jpg,biscuit tin,['biscuit tin'],1
../images/test/batch3/Speaker (3).jpg,Speaker,['audio sound system'],0
../images/test/batch3/Pyrex glassware (2).jpg,Pyrex glassware,['glass bakeware'],0
../images/test/batch3/printer.jpg,printer,['printer'],1
../images/test/batch3/disposable cutlery.jpg,disposable cutlery,"['disposable fork', 'disposable spoon', 'disposable knife']",0
../images/test/batch3/fridge.jpg,fridge,['fridge'],1
../images/test/batch3/electric fan.jpg,electric fan,['standing fan'],0
../images/test/batch3/Personal mobility devices (2).jpeg,Personal mobility devices,['electric mobility scooter'],0
../images/test/batch3/Vase (2).jpg,Vase,['vase'],1
../images/test/batch3/rechargeable battery.jpg,rechargeable battery,"['rechargeable battery', 'battery charger']",1
../images/test/batch3/Battery charger (3).jpg,Battery charger,"['battery charger', 'electronic cables']",0.5
../images/test/batch3/cd player (3).jpg,cd player,['cd player'],1
../images/test/batch3/shoes (3).jpg,shoes,['sneakers'],0
../images/test/batch3/robot cleaner.jpg,robot cleaner,['robot vacuum'],0
../images/test/batch3/Shampoo.jpg,Shampoo,['shampoo bottle'],0
../images/test/batch3/plaster.jpeg,plaster,['plaster'],1
../images/test/batch3/Football.jpg,Football,['football'],1
../images/test/batch3/Facial cleanser bottle (4).jpg,Facial cleanser bottle,['plastic facial cleanser bottle'],0
../images/test/batch3/Toys (2).jpg,Toys,"['toys', 'toys']",1
../images/test/batch3/shoes.jpg,shoes,"['sneakers', 'shoe box']",0
../images/test/batch3/food blender.jpg,food blender,['food processor'],0
../images/test/batch3/metal bottle cap.jpg,metal bottle cap,['metal bottle cap'],1
../images/test/batch3/permanent marker.jpg,permanent marker,['permanent marker'],1
../images/test/batch3/disposable bowl.jpeg,disposable bowl,['disposable bowl'],1
../images/test/batch3/Football (5).jpg,Football,['football'],1
../images/test/batch3/paper towel.jpg,paper towel,['kitchen towel'],0
../images/test/batch3/Spectacles (4).jpg,Spectacles,['glasses'],1
../images/test/batch3/toilet paper packaging.jpeg,toilet paper packaging,['toilet paper'],0
../images/test/batch3/Speaker.jpg,Speaker,['audio sound system'],0
../images/test/batch3/wooden chopsticks (3).jpg,wooden chopsticks,['wooden chopsticks'],1
../images/test/batch3/paper towel tube.jpeg,paper towel tube,['toilet roll tube'],0
../images/test/batch3/shoe rack.jpg,shoe rack,['shoe rack'],1
../images/test/batch3/Calendar (2).jpg,Calendar,['calendar'],1
../images/test/batch3/cooking pot.jpg,cooking pot,['cooking pot'],1
../images/test/batch3/couch.jpg,couch,['sofa'],1
../images/test/batch3/bag.jpg,bag,['bag'],1
../images/test/batch3/cereal box.jpeg,cereal box,"['cereal box', 'cereal box', 'cereal box']",1
